Image,Transcription,Length
073_053_001_03_06,Nature of the Act ; and  ' tis from thence as we  <gap/>  shall,63
073_053_001_03_07,soon see that it takes it ' s Definition .,42
073_053_001_03_08,The Word Larceny has its Import coextensive only,48
073_053_001_03_10,with Punishment annexed by the peculiar Jurisprudence,53
073_053_001_03_11,of our own Country to the main Body of the other,48
073_053_001_03_12,Title :  applying in it ' s proper Signification to such,56
073_053_001_03_13,Cases only of Theft as are punished with the Punishment,55
073_053_001_03_15,"With Regard to this Definition , the Source of",46
073_053_001_03_16,"which will be hereafter explained , it is sufficient at",55
073_053_001_03_17,"present to observe , that it is not taken from any Difference",61
073_053_001_03_18,in the Nature of the Act :  so that if when therefore we,56
073_053_001_03_19,meet with any Passage in a practical Book which intimates,57
073_053_001_03_20,", that of such & such a Subject Larceny cannot be committed ,",61
073_053_001_03_22,we are not to conceive that the Act of Stealing is deficient,60
073_053_001_03_23,in any of those Qualities which if it had been committed,56
073_053_001_03_24,on certain other Subjects would have denominated it,51
073_054_001_03_01,"Larceny , or that the Thing is under any intrinsic Incapacity",61
073_054_001_03_02,"of becoming the Subject of an Act of that Nature , but only",59
073_054_001_03_03,"that if it is stolen , as fairly stolen  ( if it may be allowed",63
073_054_001_03_04,"the Expression )  as any Thing whatever can be ,  [ still ]  the",64
073_054_001_03_06,"Punishment for it is not of that Kind which , where",51
073_054_001_03_07,has by the Common Laws,22
073_054_001_03_08,it originally attached bestowed on the Act that,47
073_054_001_03_10,In a Word the Import of the Term Theft with,43
073_054_001_03_11,it ' s Conjugates above mentioned is coextensive with,53
073_054_001_03_12,the Moral Idea :  Larceny with the Legal .,42
073_054_001_03_13,This Distinction is far from being steadily,43
073_054_001_03_14,observed :  Writers every now & then stretching the,51
073_054_001_03_15,Import of the Word Larceny to a Synonimity with,47
073_054_001_03_17,Theft ; by which means Things are brought to that,49
073_054_001_03_18,"pass , that now persons discoursing of a proposed Act",53
073_054_001_03_19,"might say , the one that it was , the other that it was",55
073_054_001_03_20,"not Larceny , both having the same Meaning .  _  It is",54
073_054_001_03_21,in Order to avoid this Confusion that I give this Notice,56
073_054_001_03_23,"once for all , that if I use this technical Term in my",54
073_054_001_03_24,"own person I use it not in Concurrence with , but in",52
073_054_001_03_25,Contradistinction to the other .,32
073_055_001_03_01,"The Definition I am about to give , indicative of",49
073_055_001_03_02,"the Nature of the Act , is commensurate to the Term ,",53
073_055_001_03_03,"expressive of the moral Idea , Theft .",38
073_055_001_03_05,"Theft then may be defined , The taking of a",43
073_055_001_03_06,"moveable thing , by one conscious of his not having",51
073_055_001_03_07,"any Title so to do ,  and without the Consent of any",52
073_055_001_03_08,"one who has , in the Intention of making it his own .",53
073_055_001_03_09,"Distinguishable from this in it ' s Conception , though",55
073_055_001_03_10,"actually distinguished from it by the Law , in some",51
073_055_001_03_11,"Instances only , whilst in others it is confounded with",55
073_055_001_03_12,"it , is the Offence of Embezzlement .",37
073_055_001_03_13,Embezzlement is where a Man having,34
073_055_001_03_14,"taken , on having Liberty to take a moveable Thing , by",55
073_055_001_03_15,"the Consent of the Owner expressed or to be implied ,",53
073_055_001_03_16,"if not obtained by Fraud , does some Act with the",49
073_055_001_03_17,Intention of making it his own in the consciousness of,54
073_055_001_03_18,having no Title so to do .,26
073_055_001_03_19,Having for a Moment introduced the Mention of,45
073_055_001_03_20,"this Offence here , for the sake of narrowing the Notion of",59
073_055_001_03_21,"Theft on all sides to it ' s proper Point , I shall dismiss the",63
073_056_001_03_01,Further consideration of it to a subsequent chapter,51
073_056_001_03_02,appropriated to that title .,28
073_056_001_03_03,To return therefore to,22
073_056_001_03_05,And first as to the taking It may be,36
073_056_001_03_06,"a Question , by whom is it to be determined , in every",54
073_056_001_03_08,"Case , whether this has or has not happened ?  and secondly",59
073_056_001_03_09,whether by their own naked Discretion pro re nata or,52
073_056_001_03_10,with any preestablished Rules for their Assistance ?,52
073_056_001_03_12,I answer by no means by the judge . lest least we,49
073_056_001_03_13,should have a taking which no common Man,40
073_056_001_03_14,"would deem such , as we have already a Breaking",47
073_056_001_03_15,where nothing is broken and an Entry where nobody,49
073_056_001_03_18,Thise point here to be decided involves no collateral,53
073_056_001_03_19,"Point of Law , the Question being merely whether that",53
073_056_001_03_20,which a common Man would deem a taking has,42
073_056_001_03_22,"The misfortune is that with regard to this , there",50
073_056_001_03_23,will be differences of opinion :  but either their Differences,62
073_056_001_03_24,are reconcileable by Rules intelligible to those about,54
073_057_002_01_01,"+  The Word Aphorism being an unfamiliar Word Term ,",52
073_057_002_01_02,need not be inserted in the Code  _  I use it here only,55
073_057_002_01_04,from the Necessity of giving some Name for an Idea,50
073_057_002_01_05,I have frequent Occasion to recall,34
073_057_002_01_06,+  If this Mode of Expression should be thought too,51
073_057_002_01_07,remote from ordinary Language it might run,42
073_057_002_01_08,"thus :   "" The Action of the Taker being exerted",48
073_057_002_01_09,"directly on the Thing taken ,",29
073_057_002_01_10,|| In like Manner for the same reason instead of,48
073_057_002_01_11,""" Agent rational or irrational ""  might be put",46
073_057_002_01_13,# For if the Bystander in Question were in Confederacy,54
073_057_002_01_14,he would be the criminal Taken i : e :  the Thief,49
073_057_002_01_15,and the Commander an Accomplice with him .,42
073_058_001_03_01,"to do the Act which is to be governed by them , or they",55
073_058_001_03_02,"are not  _  If not , it is to no purpose to set a Judge",55
073_058_001_03_03,to make them ; especially when the Deed which,45
073_058_001_03_04,"called fpr them is over :  if they are , let those Rules",56
073_058_001_03_05,be established before hand that they whose Fate is,50
073_058_001_03_06,to depend upon them may be warned in Time .,43
073_058_001_03_07,I answer therefore 2dly by all Means by,39
073_058_001_03_08,"the Jury ; to wit , either judging from the Circumstances",57
073_058_001_03_09,of each particular Case without any more explicit,49
073_058_001_03_10,"Specification , or else with these explanatory",46
073_058_001_03_11,Aphorisms for their Direction,29
073_058_001_03_13,Taking  ( as to the Means )  may be either 1st,46
073_058_001_03_14,direct or indirect 1st direct ; the Energy of the Taker,55
073_058_001_03_15,being exerted directly on the Subject as by taking,50
073_058_001_03_16,up a Bag of Money +  with his own Hands 2nd or,46
073_058_001_03_17,Indirect ; by the Intervention of some other Agent,50
073_058_001_03_18,rational or irrational||,24
073_058_001_03_19,Rational as by commanding a Bystander,37
073_058_001_03_20,not in Confederacy # to take it up & carry it off as,52
073_058_001_03_21,if it belonged to him who gave the Command .,44
073_059_001_01_01,#  This whole Aphorism might be exprest more,44
073_059_001_01_02,"concisely , but whether with sufficient precision",49
073_059_001_01_03,"I must leave to the Reader to determine , thus  _",49
073_059_001_01_04,"A taking may be by the person himself , or by",45
073_059_001_01_05,means of some thing or person else,34
073_059_001_01_07,"|| In other words , It must have been completely",48
073_059_001_01_08,separated from every Thing which it touched before,50
073_060_001_03_01,Irrational as by driving off by Shouts a Horse,46
073_060_001_03_02,"laden with such a Bag , or by making a Dog to",45
073_060_001_03_03,take it up & follow him #,25
073_060_001_03_05,Taking  ( as to the Manner )  may be,36
073_060_001_03_06,"by altering the State in which the Subject  +  is , whether",59
073_060_001_03_09,Of Motion  _  as by cutting,27
073_060_001_03_10,down a Bag of Money from a Carriage passing by .,48
073_060_001_03_11,Of Rest  _  as by drawing away,30
073_060_001_03_12,"the Bag , the Carriage standing still .",39
073_060_001_03_14,"But in either Case , the Thing in",33
073_060_001_03_15,"Question , to have been taken , must have been so",49
073_060_001_03_16,"dealt with , as that after the taking , no part of it",53
073_060_001_03_17,shall continue to touch any Part of any Thing which,51
073_060_001_03_20,To this purpose a Heap of Things is,35
073_061_001_03_01,to be considered as one Thing,29
073_061_001_03_02,It is for the intelligent Reader to decide whether,50
073_061_001_03_03,Explanations pushed to this Degree of Refinement,48
073_061_001_03_04,will or will not be of service upon the whole towards,53
073_061_001_03_05,the solving of such Doubts as a Jury might be,45
073_061_001_03_06,liable to entertain .,21
073_061_001_03_07,With this Idea  ( concerning what shall &,41
073_061_001_03_08,what shall not amount to a taking )  coincide as,48
073_061_001_03_09,far as they go the received Doctrines of the Law .,50
073_061_001_03_10,"On the affirmative it has been holden ,",39
073_061_001_03_11,"that a Man who had taken off the Sheets of a Bed ,",50
073_061_001_03_12,"and carried them down into the Hall , that a Man",48
073_061_001_03_13,who had pulled off the Skin or the Wool from a,46
073_061_001_03_14,"Sheep , that a Man who had taken Plate out of a",47
073_061_001_03_15,Trunk and laid it at on the Floor had severally so,50
073_061_001_03_16,acted as to consummate to this Purpose their respective,55
073_061_001_03_18,These Cases are indeed adduced by the practical,47
073_061_001_03_19,"Writers as Instances of the carrying away , the Asportation",59
073_061_001_03_20,which the Forms require to be charged as a Fact contradistinct,62
073_061_001_03_21,from and over and above the taking :  tho '  I believe it,57
073_061_001_03_22,would somewhat puzzle a Man using the Language of,49
073_063_001_03_01,"common Sense & not of Law to say , if this was a",48
073_063_001_03_02,"carrying away & not a taking , what a taking was ; and",54
073_063_001_03_03,"that such an one if asked in any of these Cases ,",49
073_063_001_03_05,Is the Man carrying the Goods away ?  would either,50
073_063_001_03_06,"be apt to say , no ; take them he did , but he was",50
073_063_001_03_07,seized before he could carry them away . |||,44
073_063_001_03_08,On the negative side I find neither,35
073_063_001_03_09,Decision nor Opinion .,22
073_063_001_03_10,I have drawn the Line of Consummation,37
073_063_001_03_11,"at this stage of the guilty Process , because  ' twas at",56
073_063_001_03_12,this that I thought it would be most  <gap/>  conspicuous,57
073_063_001_03_13,"and least liable to Controversy . If not , let there be",55
073_063_001_03_14,supposed some Period posterior to and distinct from the,55
073_063_001_03_15,""" taking ""  and let it be called the  "" carrying away ""  #",58
073_063_001_03_16,Now carrying away must be from some place,41
073_063_001_03_18,to some other :  but to settle the explanatory Aphorisms,56
073_063_001_03_19,the Limits between these two Places in every Case that,54
073_063_001_03_20,might occur would lead into endless Difficulties and,52
073_063_001_03_21,Disenssions ; and to leave it to the Jury in every,50
073_063_001_03_22,Case without any such Direction would induce great,50
073_063_001_03_23,Fluctuation of in & Uncertainty in the Decisions,48
073_067_001_03_01,in all its present Minuteness :  is covering at once,52
073_067_001_03_02,"all those Inlets to Impunity under equal guilt , which",54
073_067_001_03_03,an acute and interested Examination of the subsisting,53
073_067_001_03_04,Doctrine might discover .,25
073_067_001_03_05,But here again another Question,31
073_067_001_03_06,may occur  ( for it has already occurred to Writers  +,54
073_067_001_03_07,in other Words )  whether the presence of this Consciousness,60
073_067_001_03_08,"is to be left to the Jury , ( to whom I refer the Cognizance",60
073_067_001_03_09,of it without Hesitation for the Reasons mentioned,50
073_067_001_03_10,"under the word  "" Taking ""  )  to infer without further",55
073_067_001_03_11,without further rule,20
073_067_001_03_12,Rule by their Discretion ; or whether any such points,53
073_067_001_03_14,of Behaviour from which it may be infer ' d by Law are,54
073_067_001_03_15,capable of being number ' d & ascertained ?,43
073_067_001_03_16,I have taken no small pains to find an,38
073_067_001_03_17,"Answer to this Question , and the Results is that I",51
073_067_001_03_18,conceive they are reducible to one of these 4 viz :,51
073_067_001_03_19,1st . Concealment of the Act of taking 2d Conceal-,50
073_067_001_03_20,-ment afterwards of the Thing taken . 3d Concealment,52
073_067_001_03_21,of the taking Taker ' s own Person . 4th Flight .,49
073_067_001_03_22,I also carried on the Disquisition to a,39
073_067_001_03_23,still further Degree of Minuteness by tracing,45
073_067_001_03_24,out other Circumstances which being such,40
073_067_001_03_26,+  v . Hale ' s Hist . P.C le Common .,38
073_068_001_03_01,wherefrom this Consciousness might be infer'd were,50
073_068_001_03_02,yet themselves reducible to some one or other of,48
073_068_001_03_05,But I had Cause at length to abandon,36
073_068_001_03_06,"the pursuit, in the Persuasion that this",40
073_068_001_03_07,Consciousness might by infer'd with equal,41
073_068_001_03_08,Satisfaction & Certainty from any of the respective,51
073_068_001_03_09,individual Circumstances directly as thro',42
073_068_001_03_10,the Medium of any of those specific Heads: the,46
073_068_001_03_11,Establishment of them as the Subjects of distinct,49
073_068_001_03_12,Questions to the Jury would therefore have no Use; and,54
073_068_001_03_13,"it might have this Inconvenience, that the",42
073_068_001_03_15,Distinction between them would not in every Care,48
073_068_001_03_16,"so clear, as that the Jury could concur in affirming",52
073_068_001_03_17,the Existence of any one in particular and disaffirming,55
073_068_001_03_18,that of the others: hence if the Interrogatories,48
073_068_001_03_19,"concerning each were put separately, tho' some one",50
073_068_001_03_20,or other of these Circumstances unquestionably had,50
073_068_001_03_21,"Existence, yet not knowing precisely which, they",48
073_068_001_03_22,would think themselves obliged to disaffirm it of,49
073_069_001_03_01,"For Examples in Proof of this , to avoid tedious",48
073_069_001_03_02,"Details , I must be content to refer myself to the",50
073_069_001_03_03,Reader ' s Imagination .,24
073_069_001_03_04,The inserting Aphorisms concerning them,39
073_069_001_03_05,in the popular Code would have a mischievous,44
073_069_001_03_06,"Consequence , if any ; in as much as it would",45
073_069_001_03_07,serve to point out to Malefactors the precautions,49
073_069_001_03_08,conducive to their Security .,29
073_069_001_03_09,4th Without the Consent of him who,34
073_069_001_03_10,"has , or of any acting one on his Behalf",40
073_069_001_03_11,This is inserted for the sake of distinguishing,47
073_069_001_03_12,the Crime in Question as well from Embezzlement,47
073_069_001_03_13,as from the several Kinds of Frauds .,37
073_069_001_03_14,How these are respectively distinguished from,45
073_069_001_03_15,each other will be seen in its proper place .,45
073_069_001_03_16,5th In the Intention of making it,33
073_069_001_03_18,I believe this Expression will be deemed less,45
073_069_001_03_19,equivocal than another which I had under Consideration ;,56
073_069_001_03_20,"viz :   "" converting it to his own use ""  which latter",54
073_069_001_03_21,might in strictness perhaps be used of a Man,44
073_069_001_03_22,who took away any Utensil of his Neighbour ' s tho ',52
073_070_001_03_01,in the Intention of returning it :  True it is indeed,53
073_070_001_03_02,that in this Case he might be said to make,42
073_070_001_03_03,"it his own by adding  "" for a Time ""  ; but certainly",53
073_070_001_03_04,not simply and without Addition .,33
073_070_001_03_06,"If the Expression instead of  "" making it",41
073_070_001_03_07,"his own ""  which I have adopted , or of  "" converting it to",59
073_070_001_03_08,"his own use ""  which for the above Reason I have",48
073_070_001_03_10,"rejected were to see of the not returning it ""  an",50
073_070_001_03_11,Expression which a scrutinizing Reader  ( and such,50
073_070_001_03_12,I wish for ) might be apt to object to me as,44
073_070_001_03_13,"answering the purpose better than either , because",50
073_070_001_03_14,"adopted to fix the sense of one of them , an Inconvenience",58
073_070_001_03_15,might ensue of which the following Supposition,46
073_070_001_03_16,may serve for an Example,24
073_070_001_03_17,A . agrees with B . to buy,26
073_070_001_03_18,"B ' s Plow :  he is to take it away in six Days , and",53
073_070_001_03_19,pay for it in a Month _  C knowing of this,42
073_070_001_03_20,Agreement takes the Plow from B ' s House,41
073_070_001_03_21,"without leave on the 5th Day , in the Intention",47
073_070_001_03_23,(  we will suppose sufficiently evinced by his Conduct,54
073_070_001_03_24,at the Time or after )  of keeping it two Days or,49
073_070_001_03_25,three Days and then not returning it back to,44
073_070_002_03_02,but carrying it to A _  This we see would come,46
073_070_002_03_03,within the Letter of such an Expression :  And,46
073_070_002_03_04,tho '  it is probable that a Jury would hold themselves,55
073_070_002_03_05,"entitled to refuse giving such a Decision , even if",51
073_070_002_03_06,"this were the Clause adopted , as should subject a",50
073_070_002_03_07,Man under such Circumstances to Punishment,42
073_070_002_03_09,yet that Letter it will be admitted is certainly,48
073_070_002_03_10,"to be preferred , from which,in Pursuit of the Spirit ,",55
073_070_002_03_11,there is least likelihood to be a Necessity of disparity .,58
073_070_002_03_12,Whether in such a Case a Jury will depart or,44
073_070_002_03_14,"no , depends upon the greater or less scrupulousness",52
073_070_002_03_15,"of their Tempers :  if they will not , a Man plainly",52
073_070_002_03_16,"innocent is found guilty ; if they will do , their",50
073_070_002_03_17,Decision will stand as an Evidence of the Imperfection,54
073_070_002_03_18,"of a Law , thereby shewn to be of such a Nature as",50
073_070_002_03_19,that it was not fit to be punctually observed .,47
073_070_002_03_20,When once it is admitted that Violence may,42
073_070_002_03_21,be done on any Side or to any Degree to the plain,49
073_070_002_03_22,"Import of a Phrase , little by little Opportunities",51
073_070_002_03_23,are taken of violating it of the opposite side or to,52
073_071_001_03_01,a greater Degree :  Questions are started to what,49
073_071_001_03_02,"Degree , in what Instances , to what Purposes it ' s",52
073_071_001_03_03,Violation may be permitted _  The Word is warped,48
073_071_001_03_04,aside and turns technical  _  Men lose their,44
073_071_001_03_05,Confidence in their Conception of it ' s Import _,49
073_071_001_03_06,Glosses and Explanations and Modifications &,44
073_071_001_03_07,Restrictions become necessary to keep it streight ;,51
073_071_001_03_08,and the Definition loses that Simplicity &,42
073_071_001_03_09,Conciseness the effectuating of which was the,45
073_071_001_03_10,sole purpose of its Fabrication .,33
073_071_001_03_11,Endless would be the Enumeration of such,40
073_071_001_03_12,"Phrases , as , seeming at first Sight to answer",47
073_071_001_03_13,the purpose of covering guilt in every Case and,47
073_071_001_03_14,"at the same Time of excluding Innocence , would",47
073_071_001_03_15,be found on a closer Inspection not to do so  _,47
073_071_001_03_16,"Sensible of the Difficulty and Delicacy of the Task ,",53
073_071_001_03_17,"I dare not promise , that such as I have respectively",53
073_071_001_03_18,"adopted for this and the subsequent Definitions , are",53
073_071_001_03_19,"for a certainty , in no Instance , of the Number .",50
073_071_001_03_20,Meanwhile I have entered into this Discussion,45
073_071_001_03_21,for the Sake of shewing how anxious a,37
073_071_001_03_22,Circumspection is necessary In the Selection,44
073_071_002_01_01,||| or affectus furandi Just . Instit :   _  Till . de obl :,60
073_071_002_01_03,+  If the reader will take the Trouble to cast his Eye,54
073_071_002_01_04,over the table of offences claped according to their,52
073_071_002_01_05,motives he will find besides that in,36
073_071_002_01_06,Question which have for their motive the same Thirst,52
073_071_002_01_07,of Lucre . Taking an Utensil belonging to,41
073_071_002_01_08,another without Leave in the Intention of returning,51
073_071_002_01_09,"it , one of those petty Offences which the Author",49
073_071_002_01_10,instances as the Number of whi such as these,44
073_071_002_01_11,"Expressions are to indemnity , is for the sake of",49
073_071_002_01_12,Lucre :  viz :  not indeed so much of Luere as,46
073_071_002_01_13,"accrues from the using it as long as it lasts , but",51
073_071_002_01_14,so much as accrues from the using it for a Time .,49
073_071_002_01_15,"This much for those Acts , which tho '",38
073_071_002_01_16,only petty ones are yet Offences but this,41
073_071_002_01_17,serves not any better to indemnity and kind of,46
073_071_002_01_18,innocent & laudable Acts done in the way of,43
073_071_002_01_19,"lawful Commerce , all of which are done for the",47
073_071_002_01_20,"Cause of Lucre or , without a motive .",38
073_071_003_03_01,and Composition of the few Phrases into which,45
073_071_003_03_02,it is probable proposed to concentrate the Quintessence,55
073_071_003_03_04,"And now it may be Time to observe , that",40
073_071_003_03_06,"this last Clause together with the third , and not",50
073_071_003_03_07,"the unmeaning Word  "" Felonious ""  , nor the equally",52
073_071_003_03_08,"unmeaning Expression  "" animus furandi,||| nor",46
073_071_003_03_09,"that of  "" Lucri Causa ""  +  which has a meaning",48
073_071_003_03_10,but one no ways relevant to the Purpose of,42
073_071_003_03_11,"discriminating Innocence from Guilt , all",41
073_071_003_03_12,which are brought together by the Author of,43
073_071_003_03_13,"the Commentaries as synonimous , will serve",43
073_071_003_03_14,"to  "" indemnify more Trespassers & other petty",46
073_071_003_03_17,It is impossible that the former Expressions,44
073_071_003_03_18,"can serve for any Thing , like they come to be",46
073_071_003_03_19,"translated , in the Minds of those who consider them ,",54
073_071_003_03_20,"into intelligible Language ; of which kind , I",46
073_071_003_03_21,trust  ( judging as well from the Determination,47
073_071_003_03_22,as from the Nature of the Subject )  will be found,50
073_071_003_03_23,to be that expressed in the above two Clauses .,47
073_071_004_01_01,# Omnis Definitio in Lege periculosa est _  I would,51
073_071_004_01_02,rather substitute this in the Room ofit Definitiones,52
073_071_004_01_03,"in Lege ponere est arduum , omittere exitiosum",46
073_072_001_03_01,It may now also be Time to take a short,39
073_072_001_03_02,"review of the Definitions given by expository Writers ,",55
073_072_001_03_03,and to observe with what success they have illustrated,54
073_072_001_03_04,"a favourite Aphorism of their own , that to",43
073_072_001_03_05,"define is in Law a perilous Undertaking ""  #",44
073_072_001_03_06,"Larceny ,  ( for that we may remember is",40
073_072_001_03_07,the Term employed by them )  is defined by the,46
073_072_001_03_08,"Author of the Commentaries  _   "" the felonious",47
073_072_001_03_09,taking and carrying away the personal Goods,43
073_072_001_03_11,"1st . The word  "" felonious ""  is afterwards explained",54
073_072_001_03_13,Take it before or after the Explanation,39
073_072_001_03_14,it is altogether as edifying and instructive,44
073_072_001_03_15,for the Purpose of characterizing the Offence,45
073_072_001_03_16,"as the word  "" Cabalistical ""  or any other",43
073_072_001_03_17,uncouth Word that might be substituted,38
073_072_001_03_19,"It indicates , as we have seen ,  +  the",40
073_072_001_03_20,"punishment ; and it indicates nothing else ,",44
073_072_001_03_21,"what we learn by means of it is , that",38
073_072_001_03_23,+  v . the Chapter of Nomenclature,34
073_072_002_03_01,Larceny is that sort of taking and carrying,43
073_072_002_03_02,away  [ of the personal goods of another ]  which,49
073_072_002_03_03,"is punished with Forfeiture , and so forth  _  But",50
073_072_002_03_04,the very Thing which is required when a Definition,50
073_072_002_03_05,"is asked for , and which it is the Use of a",43
073_072_002_03_06,"Definition , when it has any , to explain , is ,",48
073_072_002_03_08,what is which is to be so punished ?  What is,45
073_072_002_03_09,wanted is a Mark whereby to distinguish,39
073_072_002_03_10,such Cases wherein the taking and carrying,42
073_072_002_03_11,away and so forth is punished with the,38
073_072_002_03_12,Punishment called Felony from such wherein,42
073_072_002_03_13,it is not so . If in that which in the former,45
073_072_002_03_14,Definition it has been attempted to be given .,46
073_072_002_03_15,It is that which we are here left utterly to,44
073_072_002_03_17,"Turned back in a Circle , instead of the",40
073_072_002_03_18,"Definition sought for , you have still put upon",47
073_072_002_03_19,you in another Dress the Thing to be defined  _,47
073_072_002_03_20,you ask for a Fish ; you are presented with a Serpent . ||,58
073_072_002_03_21,Then sometimes to mend the Matter comes,39
073_072_003_01_01,+  There is a vulgar Tale which serves not amiss to,51
073_072_003_01_02,corrobora characterize these Characteristics .,46
073_072_003_01_03,"Five Men were in Discourse , one of whom being",46
073_072_003_01_04,"fond of shewing his Learning , happened to use",46
073_072_003_01_05,"the Word  "" corroborate ""  -  "" corroborate ""  ?  says the",58
073_072_003_01_06,"other  "" what is that ?  ""   "" corroborate  _  aw  _",52
073_072_003_01_07,"is  _  aw  _  aw , to corroborate :  just now",45
073_072_003_01_08,"as if I was to corroborate you , or you was to",46
073_072_003_01_10,|| A Highway man has robbed me ; I see a Friend,47
073_072_003_01_11,"well mounted and armed , I shew him which the",45
073_072_003_01_12,"Road the Highway man has taken , and desire",43
073_072_003_01_13,him to pursue . He asks me how he is to,39
073_072_003_01_14,"know him . O cry I , that ' s easily done , it ' s",50
073_072_003_01_15,the Man you are to apprehend . Must not,39
073_072_003_01_16,this be a needs be a Description singularly satisfactory ?,58
073_072_003_01_17,"Just so much the Reader sees , as to this part of it , in",57
073_072_003_01_18,the Definition in Question .,28
073_073_001_03_02,the aforesaid animus furandi as a characteristic,48
073_073_001_03_03,"of which by their frequent Use of it , Lawyers",46
073_073_001_03_04,seem to make no small account _  animus,39
073_073_001_03_05,"furandi is the Will , Design , Intention , call it",50
073_073_001_03_06,"which you please , to steal :  stealing therefore",49
073_073_001_03_07,we learn is taking with the will to steal ; alias,49
073_073_001_03_08,stealing is wilful stealing :  and what is,42
073_073_001_03_09,wilful stealing ?  why it is wilful stealing #,46
073_073_001_03_10,"2.dly The word  "" taking ""  we are told implies",47
073_073_001_03_11,the Consent of the owner to be wanting . ||,43
073_073_001_03_12,"It is not true that the word  "" taking """,40
073_073_001_03_13,implies any such Thing . The ordinary,37
073_073_001_03_14,Conceptions concerning the Offence of Men,41
073_073_001_03_15,untutored by vitious Definitions imply as much :,48
073_073_001_03_16,"but the word  "" taking ""  implies nothing about the",51
073_073_001_03_18,"3.dly We are further told  "" there must not only",48
073_073_001_03_19,"be a taking but a carrying away ""  , # acts it",46
073_073_001_03_20,should seem therefore mighty easily distinguishable,51
073_073_001_03_21,"_ how easily , we have seen above .",35
073_073_001_03_22,"4.thly We are told that  "" this felonious taking &",50
073_073_003_01_01,|| The Title of those Cases by ranking with the Offence,55
073_073_003_01_02,to participate of the Punishment of Theft will be,49
073_073_003_01_03,discussed below under the Head of Estimation .,46
073_074_001_03_01,be not amiss to subjoin yet another Aphorism to,47
073_074_001_03_02,the following Effect .,22
073_074_001_03_04,He who takes away a Thing tho '  his own,40
073_074_001_03_05,with Intent that another shall be chargeable on,47
073_074_001_03_06,Account of it shall be deemed conscious of having,49
073_074_001_03_07,no pretence of Title so to do . ||,34
073_074_001_03_08,The Definition of Sir Edw . Coke  +  is plainly that of,55
073_074_001_03_09,"which the above in an Abridgement  _   "" The felonious",54
073_074_001_03_10,and fraudulent taking away and carrying away,44
073_074_001_03_11,""" by any Man or Woman of the meer personal",42
073_074_001_03_12,""" Goods of another , neither from the Person , nor by",53
073_074_001_03_13,""" Night in the House of the Owner . """,37
073_074_001_03_14,The Specification attempted in the Term,39
073_074_001_03_15,""" Woman ""  is nugatory , and being incomplete without",53
073_074_001_03_16,"that of  "" Child ""  is mischievous .",36
073_074_001_03_17,The last negative Clause is inserted for the,44
073_074_001_03_18,sake of distinguishing this Offence from Burglary :,51
073_074_001_03_19,the first from that of Robbery which it does not,48
073_074_001_03_21,They both agree in representing it as,37
073_074_001_03_22,"something exclusive of those two Crimes , which it",50
073_074_001_03_23,"is not :  Robbery is not , neither is Burglary an Offence",57
073_074_001_03_25,+  4th . Inst . 107 .,21
073_074_002_03_01,"which is not Larceny , but Larceny and something",48
073_074_002_03_02,"more . Robbers and Burglarers may be , and often",48
073_074_002_03_03,"are , indicted only of the latter Crime .",41
073_074_002_03_04,It had been well if instead of losing his,41
073_074_002_03_05,"Labour in these unnecessary Distinctions , he had",49
073_074_002_03_06,bestowed it on the discriminating of the Offence from,53
073_074_002_03_07,the six Species of Acts with which by the Epithet,49
073_074_002_03_08,fraudulent it is expressly confounded  _,40
073_074_002_03_09,1 Embezzlement ; 2 Personation ;  ( at that Time,48
073_074_002_03_10,Offences only in a few Cases; )  3 False Pretences ;,52
073_074_002_03_11,"a very questionable Crime at that Time , if any ,",49
073_074_002_03_12,except in the Instance of False Tokens ; 4 False,48
073_074_002_03_13,Circulation ; 5 False Weights and Measures ; 6,46
073_074_002_03_15,The Author of the Commentaries has,34
073_074_002_03_17,therefore very properly cut off these redundant,47
073_074_002_03_18,Clauses . of the other .,24
073_074_002_03_19,"The Definition of the Civil Law , from",38
073_074_002_03_20,"which this Epithet was taken is ,  "" Fraudulenta",48
073_074_002_03_21,"Contrectatio Lucri faciendi Gratia , vel ipsius",47
073_074_002_03_22,"Rei , vel etiam usus ejus Possessionisve . #",44
073_074_002_03_24,# Instit . Tit . De Obl . quae delicto .,40
073_083_001_02_01,Simple Personal Injuries,24
073_083_001_03_01,Where the quantity of damage which was intended is the,54
073_083_001_03_02,"very quantity which eventually ensues, the act may be said",58
073_083_001_03_03,to be adequately intentional with respect to its conse-,55
073_083_001_03_04,"-quences; when not so much, inadequately; when more,",52
073_083_001_03_05,more than adequately,20
073_083_001_03_06,"You intended for instance to strike the porter,",47
073_083_001_03_07,whose leg you have broken. If,29
073_083_001_03_08,If your intention was to strike him in the leg in such,54
073_083_001_03_09,"manner that he might be obliged to have it cut off, or if",57
073_083_001_03_10,you intended to strike him in the fore-arm in such manner,57
073_083_001_03_11,"that he might be obliged to have his fore-arm cut off, and the",62
073_083_001_03_12,case is that the damage he would suffer from the loss of a,58
073_083_001_03_13,leg would not be materially greater or less than what he,56
073_083_001_03_14,"would suffer from the loss of a fore-arm, in either of these",60
073_083_001_03_15,cases the act was adequately intentional with regard to,55
073_083_001_03_16,the quality of damage.,22
073_083_001_03_17,If your intention was only to hurt him in the fore-,51
073_083_001_03_18,"arm or the leg without depriving him of either, the act",55
